,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Rfx5,69,0.12825278810408922,9,0.016728624535315983,60,0.11152416356877323,1541.0,0.5213856282906493,Homeostasis_D00_MoM
H2-Ab1,14,0.026022304832713755,14,0.026022304832713755,0,0.0,0.0,1.0,Homeostasis_D00_MoM
Sp3,239,0.44423791821561337,33,0.06133828996282528,206,0.3828996282527881,7282.0,0.5703135457794498,Homeostasis_D00_MoM
Nfyc,43,0.07992565055762081,14,0.026022304832713755,29,0.05390334572490706,1599.0,0.374708239127339,Homeostasis_D00_MoM
Sp1,194,0.36059479553903345,25,0.046468401486988845,169,0.3141263940520446,2773.0,0.49047737954993564,Homeostasis_D00_MoM
Pparg,53,0.09851301115241635,38,0.07063197026022305,15,0.027881040892193308,853.0,0.11716173160125445,Homeostasis_D00_MoM
Ccl6,26,0.048327137546468404,26,0.048327137546468404,0,0.0,0.0,0.17963350727348643,Homeostasis_D00_MoM
Foxo1,19,0.03531598513011153,12,0.022304832713754646,7,0.013011152416356878,586.0,0.20048947126768019,Homeostasis_D00_MoM
E2f4,166,0.30855018587360594,14,0.026022304832713755,152,0.2825278810408922,929.0,0.35302289980502,Homeostasis_D00_MoM
Irf3,68,0.12639405204460966,15,0.027881040892193308,53,0.09851301115241635,818.0,0.2061145980774581,Homeostasis_D00_MoM
Tcf7l2,104,0.19330855018587362,34,0.06319702602230483,70,0.13011152416356878,5.0,0.26592796221659043,Homeostasis_D00_MoM
Irf8,85,0.1579925650557621,52,0.09665427509293681,33,0.06133828996282528,85.0,0.15604318324352964,Homeostasis_D00_MoM
S100a8,12,0.022304832713754646,12,0.022304832713754646,0,0.0,0.0,0.09161264165062538,Homeostasis_D00_MoM
Nfix,9,0.016728624535315983,0,0.0,9,0.016728624535315983,0.0,0.028223739215367822,Homeostasis_D00_MoM
Klf13,183,0.34014869888475835,44,0.08178438661710037,139,0.258364312267658,1525.0,0.3603685412321688,Homeostasis_D00_MoM
Mt1,19,0.03531598513011153,19,0.03531598513011153,0,0.0,0.0,0.1897569045192853,Homeostasis_D00_MoM
Bhlhe41,72,0.13382899628252787,9,0.016728624535315983,63,0.1171003717472119,0.0,0.20989420361074765,Homeostasis_D00_MoM
Fabp5,33,0.06133828996282528,33,0.06133828996282528,0,0.0,0.0,0.2365118235485633,Homeostasis_D00_MoM
Foxk2,46,0.08550185873605948,7,0.013011152416356878,39,0.0724907063197026,959.0,0.15906422562272943,Homeostasis_D00_MoM
Rest,166,0.30855018587360594,0,0.0,166,0.30855018587360594,0.0,0.1770659641940498,Homeostasis_D00_MoM
Egr1,202,0.3754646840148699,46,0.08550185873605948,156,0.2899628252788104,322.0,0.44586603909780564,Homeostasis_D00_MoM
Cxcl2,28,0.05204460966542751,28,0.05204460966542751,0,0.0,0.0,0.21023078455173586,Homeostasis_D00_MoM
Fli1,67,0.12453531598513011,0,0.0,67,0.12453531598513011,0.0,0.09193095231784995,Homeostasis_D00_MoM
Lyz2,8,0.01486988847583643,8,0.01486988847583643,0,0.0,0.0,0.08546350281982144,Homeostasis_D00_MoM
Sp2,164,0.3048327137546468,3,0.0055762081784386614,161,0.2992565055762082,1492.0,0.2597475223475558,Homeostasis_D00_MoM
Zbtb14,154,0.2862453531598513,10,0.01858736059479554,144,0.26765799256505574,3324.0,0.19342314337016367,Homeostasis_D00_MoM
Fos,100,0.18587360594795538,20,0.03717472118959108,80,0.14869888475836432,0.0,0.47836896430205644,Homeostasis_D00_MoM
Mef2a,143,0.26579925650557623,26,0.048327137546468404,117,0.2174721189591078,69.0,0.20016237548708868,Homeostasis_D00_MoM
Mafb,51,0.09479553903345725,37,0.0687732342007435,14,0.026022304832713755,0.0,0.2865947362157253,Homeostasis_D00_MoM
Spi1,56,0.10408921933085502,16,0.02973977695167286,40,0.07434944237918216,127.0,0.15761993556521733,Homeostasis_D00_MoM
Foxp4,24,0.04460966542750929,12,0.022304832713754646,12,0.022304832713754646,361.0,0.12559362950494224,Homeostasis_D00_MoM
Nr3c1,147,0.2732342007434944,0,0.0,147,0.2732342007434944,0.0,0.1919062331644812,Homeostasis_D00_MoM
