,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,0.00022605181,0.00022605181,8.507829232718589e-09,8.070181235745366
1,Maz,2410017I17Rik,0.000118696014,0.000118696014,2.375040545868689e-05,4.6243289718510185
3,Irf3,2410017I17Rik,0.00018065206,0.00018065206,5.48495829777392e-07,6.260826670024643
4,Tfdp1,2410017I17Rik,0.00012767444,0.00012767444,5.419981844468149e-06,5.266002168232924
5,Nr4a3,2410017I17Rik,0.00022710879,0.00022710879,4.886273173868893e-12,11.311022256849384
7,Egr1,2410017I17Rik,-0.00013958469,0.00013958469,1.4299477149780418e-07,6.844679841913716
8,Nr2c2,2410017I17Rik,7.329258e-05,7.329258e-05,0.002914085849623328,2.535497657964628
10,Nfkb1,2410017I17Rik,0.00028712835,0.00028712835,1.0838367262685072e-08,7.965036136821031
11,Sp3,2410017I17Rik,-0.00015255163,0.00015255163,1.3614283451707261e-05,4.866005211551984
14,Mbd1,2410017I17Rik,-5.849243e-05,5.849243e-05,0.03117548675624846,1.5061867569704326
15,Max,2410017I17Rik,9.780175e-05,9.780175e-05,0.018235839980489332,1.739074227387787
16,Setdb1,2410017I17Rik,-6.957844e-05,6.957844e-05,0.0025115416812197216,2.6000596099497773
17,Clock,2410017I17Rik,8.270718e-05,8.270718e-05,0.00011327614691321506,3.9458615319246855
19,Rxra,2410017I17Rik,0.00020682187,0.00020682187,4.7349935545776984e-11,10.324680607835628
20,Mlx,2410017I17Rik,-4.202559e-05,4.202559e-05,0.048028983355388036,1.3184966061117755
21,Egr4,2410017I17Rik,-2.4853518e-05,2.4853518e-05,0.00012081259266751189,3.917887795508087
22,Arntl,2410017I17Rik,-0.00013649682,0.00013649682,6.483598355565116e-05,4.188183896563264
23,Nrf1,2410017I17Rik,-0.00020585729,0.00020585729,2.0140156346222863e-07,6.6959371623803
24,Zbtb7b,2410017I17Rik,-9.500154e-05,9.500154e-05,0.0025064135467876164,2.6009472708237618
25,Sp9,2410017I17Rik,6.2122155e-05,6.2122155e-05,2.002025504779235e-07,6.69853039413226
26,Yy1,2410017I17Rik,-7.6176344e-05,7.6176344e-05,0.002291014547579148,2.639972153100742
27,Bclaf1,2410017I17Rik,-8.353262e-05,8.353262e-05,0.000879932733334653,3.0555505263250198
29,Nr3c1,2410017I17Rik,8.642753e-05,8.642753e-05,0.0016176775241036015,2.791108048521341
30,Klf13,2410017I17Rik,-0.0003426593,0.0003426593,1.2581959471207944e-09,8.900251718090695
31,Sp1,2410017I17Rik,-0.00013932183,0.00013932183,1.7083890375582442e-06,5.767413224030063
32,Usf2,2410017I17Rik,-0.00012899128,0.00012899128,1.0735938386069495e-05,4.969159989599339
33,Id3,2410017I17Rik,-0.00011750131,0.00011750131,1.8064104563598118e-07,6.74318356150955
34,Mbd2,2410017I17Rik,-6.273869e-05,6.273869e-05,0.04721034062243744,1.3259628661243195
35,Rxrg,2410017I17Rik,-1.5835456e-05,1.5835456e-05,2.3886466779496126e-05,4.621848085145434
36,Pou2f2,2410017I17Rik,7.872748e-05,7.872748e-05,0.014671276856769703,1.8335320874029466
37,Smad1,2410017I17Rik,6.65501e-05,6.65501e-05,0.000807070669892523,3.093088435289588
39,Nr4a2,2410017I17Rik,-6.130601e-05,6.130601e-05,0.0009020983711433228,3.04474610135464
40,E2f4,2410017I17Rik,4.9587274e-05,4.9587274e-05,0.01948327332972359,1.7103380767381458
41,Bhlhe41,2410017I17Rik,-0.00020500204,0.00020500204,2.282793442637721e-09,8.641533383639437
43,Irf9,2410017I17Rik,0.00037121552,0.00037121552,3.1404340152949276e-10,9.503010327270053
44,Npas2,2410017I17Rik,-7.43787e-05,7.43787e-05,1.2346076937709587e-05,4.908471020944269
45,Atf3,2410017I17Rik,-0.00010371236,0.00010371236,0.0008500929557682524,3.070533582556368
47,Esrra,2410017I17Rik,0.0001062064,0.0001062064,0.008844587221352984,2.0533224308912628
48,Elf1,2410017I17Rik,-0.00011485271,0.00011485271,0.0005598208650481482,3.2519509190059646
49,Egr2,2410017I17Rik,-4.4420027e-05,4.4420027e-05,0.0370065716654702,1.4317211466188402
51,Stat1,2410017I17Rik,-0.00028659042,0.00028659042,8.302149734408237e-06,5.080809438117121
52,Arnt,2410017I17Rik,-5.1954732e-05,5.1954732e-05,0.0020878798312366897,2.6802945009440298
53,Nr4a1,2410017I17Rik,3.7487313e-05,3.7487313e-05,0.021157007115857523,1.6745457678749667
54,Tcf7l2,2410017I17Rik,0.00011486815,0.00011486815,4.979682917972827e-06,5.302798310123591
56,Mlxip,2410017I17Rik,9.234451e-05,9.234451e-05,0.028089233261581515,1.5514601153662009
57,Bhlhe40,2410017I17Rik,0.00024116757,0.00024116757,1.2663011294736146e-07,6.897463005758055
58,E4f1,2410017I17Rik,0.00019248849,0.00019248849,2.1250610639005597e-10,9.672628585927068
60,Smarcc1,4930447M23Rik,-0.00014685698,0.00014685698,1.2923038122516149e-08,7.888635374519257
61,Nfatc3,4930447M23Rik,4.3643402e-05,4.3643402e-05,9.051206211665571e-05,4.043293540555766
63,Nfat5,4930447M23Rik,2.4013312e-05,2.4013312e-05,0.029121005466430608,1.5357936341329017
65,Cebpg,4930447M23Rik,-5.6870274e-05,5.6870274e-05,8.081218437452736e-05,4.092523153981796
66,Maf,4930447M23Rik,-5.6192803e-05,5.6192803e-05,0.0021917134477144294,2.659216227656388
67,Prdm1,4930447M23Rik,0.00010847178,0.00010847178,8.585904672390263e-07,6.066213937715968
68,Smarcc2,4930447M23Rik,-2.8610295e-05,2.8610295e-05,0.016993602822283124,1.7697145363775584
69,Zbtb16,4930447M23Rik,-1.4254862e-05,1.4254862e-05,0.0013072763916464301,2.8836325817563173
70,Sox21,4930447M23Rik,4.3727225e-05,4.3727225e-05,2.8026484042206218e-05,4.552431381613387
71,Nfatc1,4930447M23Rik,-4.5589266e-05,4.5589266e-05,0.002812925440265899,2.550841779143094
73,Foxk2,4930447M23Rik,0.00010240615,0.00010240615,2.796969008560095e-05,4.553312345743562
75,Hivep3,4930447M23Rik,3.6297937e-05,3.6297937e-05,0.006260980161873278,2.203357672289411
76,Mef2c,4930447M23Rik,5.1661074e-05,5.1661074e-05,6.834031518498009e-11,10.165323022570005
77,Fli1,4930447M23Rik,0.000112272384,0.000112272384,5.425238734314725e-08,7.265581146195694
79,Elf5,4930447M23Rik,-3.667033e-05,3.667033e-05,0.00022139461710707253,3.6548329425770545
80,Nr3c1,4930447M23Rik,-0.00010620393,0.00010620393,2.636045370614208e-09,8.579047119101617
81,Jund,4930447M23Rik,-5.7249697e-05,5.7249697e-05,0.00041800567672068073,3.3788178202543273
82,Jun,4930447M23Rik,-3.157671e-05,3.157671e-05,0.02028717162455814,1.6927784967551913
83,Cebpb,4930447M23Rik,4.5716508e-05,4.5716508e-05,0.01763250664136525,1.7536859439043029
84,Fos,4930447M23Rik,-6.574888e-05,6.574888e-05,0.0004054355785561683,3.3920781429330193
85,Foxa3,4930447M23Rik,-3.3373166e-05,3.3373166e-05,7.259699043313627e-05,4.13908138295519
86,Foxj2,4930447M23Rik,0.00016458437,0.00016458437,6.980217546393051e-09,8.156131041886042
90,Creb1,4930447M23Rik,3.8841954e-05,3.8841954e-05,0.010194617192972205,1.991629077301351
91,Mafb,4930447M23Rik,3.828425e-05,3.828425e-05,0.0018105344441593256,2.742193208617731
92,Elf1,4930447M23Rik,-4.6402954e-05,4.6402954e-05,0.0018929983897517787,2.7228497554615676
94,Zbtb14,A930018P22Rik,1.6906884e-05,1.6906884e-05,0.009978785733418124,2.0009223025362726
95,Mef2a,A930018P22Rik,-9.594981e-05,9.594981e-05,8.407197403896536e-09,8.075348755078798
96,Tfdp1,A930018P22Rik,3.49378e-05,3.49378e-05,0.0004921662981454457,3.307888128606766
99,Egr1,A930018P22Rik,-1.9269653e-05,1.9269653e-05,0.0037459411189154504,2.4264390534239646
100,Irf7,A930018P22Rik,-5.0969913e-05,5.0969913e-05,0.0006190664283451915,3.2082627469154703
103,Irf8,A930018P22Rik,9.251077e-05,9.251077e-05,5.442281087986109e-09,8.264219031132388
104,Sp3,A930018P22Rik,-3.665969e-05,3.665969e-05,0.006714889346204904,2.1729611396190287
105,Rest,A930018P22Rik,6.274733e-05,6.274733e-05,2.7083370779813217e-06,5.567297284596566
106,Mbd1,A930018P22Rik,-6.579244e-05,6.579244e-05,5.048717759453304e-09,8.296818907169067
107,Zbtb7a,A930018P22Rik,-2.803494e-05,2.803494e-05,0.00019588912942482942,3.707989663861326
109,Irf2,A930018P22Rik,5.1631e-05,5.1631e-05,0.0001510692310282925,3.8208239814277865
111,Stat2,A930018P22Rik,1.8452438e-05,1.8452438e-05,0.047193210049888454,1.3261204812385508
112,Zic5,A930018P22Rik,3.6833382e-05,3.6833382e-05,3.0803653251357547e-13,12.51139777399245
114,Zbtb7b,A930018P22Rik,-3.920981e-05,3.920981e-05,4.197606746241118e-05,4.376998250826838
115,Mef2c,A930018P22Rik,6.967704e-05,6.967704e-05,2.363716968342732e-12,11.626404527133351
116,Pbx3,A930018P22Rik,-1.6569318e-05,1.6569318e-05,0.022962920164315934,1.6389728841047755
117,Sp9,A930018P22Rik,-5.800597e-06,5.800597e-06,0.006604666302473337,2.1801491200109187
118,Nhlh1,A930018P22Rik,1.293867e-05,1.293867e-05,0.008249414480766378,2.0835768753041717
119,Yy1,A930018P22Rik,3.438514e-05,3.438514e-05,0.008808678268925398,2.055089252039216
122,Sp1,A930018P22Rik,2.6268228e-05,2.6268228e-05,6.483178434415457e-05,4.188212025286561
