,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,2.267351e-05,2.267351e-05,0.005075995540307213,2.294478768141718
1,Maz,2410017I17Rik,4.1754058e-05,4.1754058e-05,0.0026288583891485606,2.580232807757382
4,Tfdp1,2410017I17Rik,-3.1629217e-05,3.1629217e-05,0.0015527867669200299,2.8088881787261455
5,Nr4a3,2410017I17Rik,0.000442057,0.000442057,2.975505242710157e-22,21.526439280190623
6,Mnt,2410017I17Rik,7.577203e-05,7.577203e-05,1.381823945774657e-07,6.85954728565148
7,Egr1,2410017I17Rik,-7.280529e-05,7.280529e-05,1.4799557306391757e-05,4.829751275298738
8,Nr2c2,2410017I17Rik,-5.977318e-05,5.977318e-05,3.97063026138213e-06,5.401140551847605
10,Nfkb1,2410017I17Rik,-4.534497e-05,4.534497e-05,0.011193710375533716,1.951025934157425
11,Sp3,2410017I17Rik,0.00023133465,0.00023133465,1.2276721791461834e-12,11.910917585796277
12,Gabpa,2410017I17Rik,-0.00018695592,0.00018695592,9.246619268949423e-13,12.034017024148923
13,Prdm1,2410017I17Rik,-9.2319715e-05,9.2319715e-05,1.1793442876919853e-10,9.928359392175844
14,Mbd1,2410017I17Rik,0.00016411148,0.00016411148,4.99220956966301e-12,11.301707191547223
15,Max,2410017I17Rik,-4.183879e-05,4.183879e-05,0.0007219693599936484,3.141481233272531
16,Setdb1,2410017I17Rik,-5.259026e-05,5.259026e-05,2.851530636028221e-07,6.544921958118318
17,Clock,2410017I17Rik,0.00014078562,0.00014078562,1.7510170380580085e-09,8.756709628046437
19,Rxra,2410017I17Rik,0.00016806425,0.00016806425,3.726378922167761e-07,6.428712985339054
20,Mlx,2410017I17Rik,0.00013597732,0.00013597732,9.500236710315002e-12,11.022265573584534
21,Egr4,2410017I17Rik,4.629086e-06,4.629086e-06,0.002126224156977534,2.6723909519450464
22,Arntl,2410017I17Rik,-0.00019291863,0.00019291863,3.867252604985675e-14,13.412597459328953
23,Nrf1,2410017I17Rik,-6.0305378e-05,6.0305378e-05,0.0009437572164828228,3.0251397144973926
24,Zbtb7b,2410017I17Rik,-0.00015044873,0.00015044873,7.653593518490666e-10,9.116134606831174
26,Yy1,2410017I17Rik,0.00012866188,0.00012866188,1.424362145555414e-07,6.846379576836351
28,Gcm1,2410017I17Rik,-3.0941335e-06,3.0941335e-06,0.0018019421900407106,2.7442591461810673
30,Klf13,2410017I17Rik,-0.00020953284,0.00020953284,5.1687477991824266e-12,11.286614658022968
31,Sp1,2410017I17Rik,7.395654e-05,7.395654e-05,7.167410377727566e-05,4.14463772882469
33,Id3,2410017I17Rik,-2.8963723e-05,2.8963723e-05,1.3345183740763592e-06,5.8746754423297975
34,Mbd2,2410017I17Rik,-8.5886844e-05,8.5886844e-05,7.619821201957179e-06,5.118055219200347
35,Rxrg,2410017I17Rik,-5.1736686e-05,5.1736686e-05,3.1556756499318296e-06,5.5009076412939715
36,Pou2f2,2410017I17Rik,0.00018292326,0.00018292326,0.00016014012667189313,3.795499832298922
37,Smad1,2410017I17Rik,-0.00019939107,0.00019939107,9.210077575781393e-11,10.035736711758428
39,Nr4a2,2410017I17Rik,0.00015811317,0.00015811317,0.01622083085346602,1.7899269043890942
40,E2f4,2410017I17Rik,-2.2112756e-05,2.2112756e-05,0.004184002866098166,2.3784080266431262
41,Bhlhe41,2410017I17Rik,-5.148635e-05,5.148635e-05,0.00010139076171787054,3.994001614211062
42,Nfkb2,2410017I17Rik,-0.00028032908,0.00028032908,4.229772431762622e-14,13.373682997704945
43,Irf9,2410017I17Rik,5.885523e-05,5.885523e-05,0.002886635412966071,2.539608064798108
44,Npas2,2410017I17Rik,-1.6976242e-05,1.6976242e-05,1.7457784163611865e-05,4.758010880137056
45,Atf3,2410017I17Rik,-0.0001933604,0.0001933604,2.078603359325505e-09,8.682228375166112
